date,oil_bbl,gas_mcf,water_bbl
1993-01,388.0,1.0,0.0
1993-02,344.0,1.0,0.0
1993-03,258.0,1.0,0.0
1993-04,348.0,1.0,0.0
1993-05,337.0,1.0,0.0
1993-06,335.0,1.0,0.0
1993-07,341.0,1.0,0.0
1993-08,327.0,1.0,0.0
1993-09,298.0,1.0,0.0
1993-10,404.0,1.0,0.0
1993-11,235.0,1.0,0.0
1993-12,296.0,1.0,0.0
1994-01,250.0,1.0,0.0
1994-02,201.0,1.0,0.0
1994-03,279.0,1.0,0.0
1994-04,305.0,1.0,0.0
1994-05,262.0,1.0,0.0
1994-06,242.0,1.0,0.0
1994-07,212.0,1.0,0.0
1994-08,178.0,1.0,0.0
1994-09,21.0,1.0,0.0
1994-10,1273.0,1.0,0.0
1994-11,611.0,1.0,0.0
1994-12,1476.0,1.0,0.0
1995-01,1212.0,1.0,0.0
1995-02,1031.0,1.0,0.0
1995-03,483.0,1.0,0.0
1995-04,1204.0,1.0,0.0
1995-05,1238.0,1.0,0.0
1995-06,1097.0,1.0,0.0
1995-07,1121.0,1.0,0.0
1995-08,1022.0,1.0,0.0
1995-09,731.0,1.0,0.0
1995-10,925.0,1.0,0.0
1995-11,944.0,1.0,0.0
1995-12,745.0,1.0,0.0
1996-01,1032.0,1.0,0.0
1996-02,840.0,1.0,0.0
1996-03,867.0,1.0,0.0
1996-04,830.0,1.0,0.0
1996-05,825.0,1.0,0.0
1996-06,835.0,1.0,0.0
1996-07,784.0,1.0,0.0
1996-08,828.0,1.0,0.0
1996-09,719.0,1.0,0.0
1996-10,680.0,1.0,0.0
1996-11,767.0,1.0,0.0
1996-12,812.0,1.0,0.0
1997-01,658.0,1.0,0.0
1997-02,727.0,1.0,0.0
1997-03,633.0,1.0,0.0
1997-04,671.0,1.0,0.0
1997-05,751.0,1.0,0.0
1997-06,740.0,1.0,0.0
1997-07,617.0,1.0,0.0
1997-08,428.0,1.0,0.0
1997-09,785.0,1.0,0.0
1997-10,645.0,1.0,0.0
1997-11,825.0,1.0,0.0
1997-12,717.0,1.0,0.0
1998-01,649.0,1.0,0.0
1998-02,628.0,1.0,0.0
1998-03,678.0,1.0,0.0
1998-04,660.0,1.0,0.0
1998-05,712.0,1.0,0.0
1998-06,725.0,1.0,0.0
1998-07,715.0,1.0,0.0
1998-08,668.0,1.0,0.0
1998-09,626.0,1.0,0.0
1998-10,541.0,1.0,0.0
1998-11,581.0,1.0,0.0
1998-12,611.0,1.0,0.0
1999-01,564.0,1.0,0.0
1999-02,141.0,1.0,0.0
1999-03,671.0,1.0,0.0
1999-04,673.0,1.0,0.0
1999-05,603.0,1.0,0.0
1999-06,590.0,1.0,0.0
1999-07,603.0,1.0,0.0
1999-08,569.0,1.0,0.0
1999-09,591.0,1.0,0.0
1999-10,548.0,1.0,0.0
1999-11,524.0,1.0,0.0
1999-12,461.0,1.0,0.0
2000-01,690.0,1.0,0.0
2000-02,576.0,1.0,0.0
2000-03,610.0,1.0,0.0
2000-04,573.0,1.0,0.0
2000-05,610.0,1.0,0.0
2000-06,588.0,1.0,0.0
2000-07,562.0,1.0,0.0
2000-08,479.0,1.0,0.0
2000-09,172.0,1.0,0.0
2000-10,526.0,1.0,0.0
2000-11,497.0,1.0,0.0
2000-12,516.0,1.0,0.0
2001-01,514.0,1.0,0.0
2001-02,494.0,1.0,0.0
2001-03,528.0,1.0,0.0
2001-04,491.0,1.0,0.0
2001-05,527.0,1.0,0.0
2001-06,506.0,1.0,0.0
2001-07,518.0,1.0,0.0
2001-08,519.0,1.0,0.0
2001-09,229.0,1.0,0.0
2001-10,229.0,1.0,0.0
2001-11,521.0,1.0,0.0
2001-12,534.0,1.0,0.0
2002-01,514.0,1.0,0.0
2002-02,476.0,1.0,0.0
2002-03,500.0,1.0,0.0
2002-04,351.0,1.0,0.0
2002-05,615.0,1.0,0.0
2002-06,490.0,1.0,0.0
2002-07,504.0,1.0,0.0
2002-08,498.0,1.0,0.0
2002-09,473.0,1.0,0.0
2002-10,223.0,1.0,0.0
2002-11,441.0,1.0,0.0
2002-12,474.0,1.0,0.0
2003-01,470.0,1.0,0.0
2003-02,412.0,1.0,0.0
