date,oil_bbl,gas_mcf,water_bbl
1993-01,20.0,22146.0,0.0
1993-02,0.0,13005.0,0.0
1993-03,40.0,10708.0,0.0
1993-04,15.0,8941.0,0.0
1993-05,7.0,8573.0,0.0
1993-06,15.0,7753.0,0.0
1993-07,23.0,7763.0,0.0
1993-08,14.0,6961.0,0.0
1993-09,11.0,6204.0,0.0
1993-10,6.0,6289.0,0.0
1993-11,13.0,6651.0,0.0
1993-12,25.0,6162.0,0.0
1994-01,0.0,5795.0,0.0
1994-02,5.0,4947.0,0.0
1994-03,2.0,3621.0,0.0
1994-04,3.0,5494.0,0.0
1994-05,15.0,4945.0,0.0
1994-06,13.0,4501.0,0.0
1994-07,5.0,4411.0,0.0
1994-08,7.0,4256.0,0.0
1994-09,5.0,4047.0,0.0
1994-10,10.0,4034.0,0.0
1994-11,9.0,3791.0,0.0
1994-12,11.0,3539.0,0.0
1995-01,5.0,3500.0,0.0
1995-02,2.0,2832.0,0.0
1995-03,2.0,1497.0,0.0
1995-04,38.0,752.0,0.0
1995-05,0.0,4341.0,0.0
1995-06,0.0,1562.0,0.0
1995-07,5.0,3655.0,0.0
1995-08,7.0,3407.0,0.0
1995-09,6.0,3289.0,0.0
1995-10,0.0,2915.0,0.0
1995-11,0.0,2678.0,0.0
1995-12,0.0,2883.0,0.0
1996-01,8.0,2593.0,0.0
1996-02,5.0,2213.0,0.0
1996-03,5.0,2543.0,0.0
1996-04,19.0,2638.0,0.0
1996-05,0.0,3329.0,0.0
1996-06,3.0,2983.0,0.0
1996-07,5.0,2954.0,0.0
1996-08,0.0,2773.0,0.0
1996-09,0.0,2672.0,0.0
1996-10,0.0,3038.0,0.0
1996-11,0.0,2281.0,0.0
1996-12,0.0,2272.0,0.0
1997-01,0.0,2824.0,0.0
1997-02,11.0,2585.0,0.0
1997-03,2.0,2619.0,0.0
1997-04,30.0,2440.0,0.0
1997-05,3.0,2640.0,0.0
1997-06,0.0,2491.0,0.0
1997-07,3.0,2591.0,0.0
1997-08,6.0,1722.0,0.0
1997-09,8.0,44.0,0.0
1997-10,0.0,0.0,0.0
1997-11,0.0,0.0,0.0
1997-12,0.0,0.0,0.0
1998-01,0.0,0.0,0.0
1998-02,0.0,0.0,0.0
1998-03,0.0,0.0,0.0
1998-04,0.0,0.0,0.0
1998-05,0.0,0.0,0.0
1998-06,0.0,0.0,0.0
1998-07,0.0,0.0,0.0
1998-08,0.0,0.0,0.0
1998-09,0.0,0.0,0.0
1998-10,0.0,0.0,0.0
1998-11,0.0,0.0,0.0
1998-12,0.0,0.0,0.0
1999-01,0.0,11768.0,0.0
1999-02,0.0,10045.0,0.0
1999-03,0.0,10976.0,0.0
1999-04,0.0,10071.0,0.0
1999-05,0.0,9574.0,0.0
1999-06,0.0,4994.0,0.0
1999-07,2.0,9415.0,0.0
1999-08,0.0,8220.0,0.0
1999-09,0.0,7665.0,0.0
1999-10,0.0,7327.0,0.0
1999-11,8.0,8385.0,0.0
1999-12,0.0,7783.0,0.0
2000-01,0.0,0.0,0.0
2000-02,0.0,5068.0,0.0
2000-03,0.0,7266.0,0.0
2000-04,0.0,6517.0,0.0
2000-05,0.0,5672.0,0.0
2000-06,0.0,591.0,0.0
2000-07,0.0,773.0,0.0
2000-08,1.0,741.0,0.0
2000-09,3.0,492.0,0.0
2000-10,0.0,457.0,0.0
2000-11,0.0,1192.0,0.0
2000-12,0.0,1032.0,0.0
2001-01,0.0,4156.0,0.0
2001-02,0.0,4043.0,0.0
