date,oil_bbl,gas_mcf,water_bbl
1993-01,761.0,149.0,0.0
1993-02,677.0,337.0,0.0
1993-03,848.0,643.0,0.0
1993-04,753.0,630.0,0.0
1993-05,767.0,584.0,0.0
1993-06,808.0,438.0,0.0
1993-07,761.0,703.0,0.0
1993-08,504.0,635.0,0.0
1993-09,982.0,573.0,0.0
1993-10,711.0,588.0,0.0
1993-11,919.0,618.0,0.0
1993-12,798.0,776.0,0.0
1994-01,759.0,754.0,0.0
1994-02,682.0,619.0,0.0
1994-03,709.0,464.0,0.0
1994-04,654.0,413.0,0.0
1994-05,665.0,438.0,0.0
1994-06,667.0,454.0,0.0
1994-07,652.0,271.0,0.0
1994-08,632.0,485.0,0.0
1994-09,608.0,481.0,0.0
1994-10,464.0,398.0,0.0
1994-11,180.0,1.0,0.0
1994-12,410.0,159.0,0.0
1995-01,577.0,403.0,0.0
1995-02,427.0,733.0,0.0
1995-03,593.0,439.0,0.0
1995-04,479.0,467.0,0.0
1995-05,511.0,397.0,0.0
1995-06,503.0,637.0,0.0
1995-07,490.0,686.0,0.0
1995-08,484.0,660.0,0.0
1995-09,474.0,614.0,0.0
1995-10,499.0,633.0,0.0
1995-11,482.0,589.0,0.0
1995-12,506.0,603.0,0.0
1996-01,502.0,591.0,0.0
1996-02,469.0,653.0,0.0
1996-03,502.0,635.0,0.0
1996-04,324.0,607.0,0.0
1996-05,0.0,0.0,0.0
1996-06,0.0,0.0,0.0
1996-07,0.0,0.0,0.0
1996-08,1972.0,1162.0,0.0
1996-09,1512.0,890.0,0.0
1996-10,1364.0,546.0,0.0
1996-11,1135.0,392.0,0.0
1996-12,1020.0,386.0,0.0
1997-01,643.0,307.0,0.0
1997-02,790.0,382.0,0.0
1997-03,865.0,371.0,0.0
1997-04,814.0,374.0,0.0
1997-05,759.0,350.0,0.0
1997-06,738.0,349.0,0.0
1997-07,1137.0,469.0,0.0
1997-08,1050.0,469.0,0.0
1997-09,663.0,354.0,0.0
1997-10,800.0,373.0,0.0
1997-11,836.0,350.0,0.0
1997-12,980.0,361.0,0.0
1998-01,671.0,239.0,0.0
1998-02,845.0,342.0,0.0
1998-03,830.0,441.0,0.0
1998-04,622.0,550.0,0.0
1998-05,953.0,1600.0,0.0
1998-06,850.0,1175.0,0.0
1998-07,782.0,1180.0,0.0
1998-08,834.0,563.0,0.0
1998-09,666.0,260.0,0.0
1998-10,750.0,284.0,0.0
1998-11,508.0,208.0,0.0
1998-12,621.0,238.0,0.0
1999-01,689.0,226.0,0.0
1999-02,673.0,186.0,0.0
1999-03,702.0,210.0,0.0
1999-04,547.0,206.0,0.0
1999-05,664.0,288.0,0.0
1999-06,665.0,252.0,0.0
1999-07,650.0,272.0,0.0
1999-08,611.0,247.0,0.0
1999-09,562.0,262.0,0.0
1999-10,673.0,374.0,0.0
1999-11,668.0,368.0,0.0
1999-12,658.0,201.0,0.0
2000-01,502.0,183.0,0.0
2000-02,602.0,221.0,0.0
2000-03,624.0,280.0,0.0
2000-04,543.0,200.0,0.0
2000-05,240.0,194.0,0.0
2000-06,506.0,566.0,0.0
2000-07,316.0,509.0,0.0
2000-08,164.0,95.0,0.0
2000-09,444.0,171.0,0.0
2000-10,555.0,168.0,0.0
2000-11,494.0,99.0,0.0
2000-12,502.0,304.0,0.0
2001-01,481.0,124.0,0.0
2001-02,367.0,119.0,0.0
2001-03,481.0,148.0,0.0
2001-04,498.0,154.0,0.0
2001-05,509.0,168.0,0.0
2001-06,473.0,160.0,0.0
2001-07,489.0,163.0,0.0
2001-08,459.0,148.0,0.0
2001-09,466.0,176.0,0.0
2001-10,502.0,252.0,0.0
2001-11,359.0,348.0,0.0
2001-12,1.0,344.0,0.0
2002-01,0.0,352.0,0.0
2002-02,128.0,248.0,0.0
2002-03,333.0,156.0,0.0
2002-04,335.0,230.0,0.0
2002-05,348.0,144.0,0.0
2002-06,347.0,39.0,0.0
2002-07,367.0,0.0,0.0
2002-08,365.0,73.0,0.0
2002-09,357.0,76.0,0.0
2002-10,354.0,75.0,0.0
2002-11,342.0,82.0,0.0
2002-12,370.0,68.0,0.0
2003-01,350.0,77.0,0.0
2003-02,313.0,75.0,0.0
2003-03,359.0,87.0,0.0
2003-04,343.0,89.0,0.0
2003-05,315.0,76.0,0.0
2003-06,392.0,47.0,0.0
2003-07,372.0,43.0,0.0
2003-08,349.0,77.0,0.0
2003-09,345.0,0.0,0.0
2003-10,295.0,62.0,0.0
2003-11,357.0,60.0,0.0
2003-12,354.0,62.0,0.0
2004-01,357.0,62.0,0.0
2004-02,295.0,58.0,0.0
2004-03,336.0,0.0,0.0
2004-04,344.0,0.0,0.0
2004-05,349.0,0.0,0.0
2004-06,329.0,0.0,0.0
2004-07,340.0,0.0,0.0
2004-08,300.0,0.0,0.0
2004-09,307.0,0.0,0.0
2004-10,318.0,0.0,0.0
2004-11,323.0,0.0,0.0
2004-12,317.0,0.0,0.0
2005-01,347.0,0.0,0.0
2005-02,310.0,0.0,0.0
