date,oil_bbl,gas_mcf,water_bbl
2023-01,4481.0,63691.0,29413.0
2023-02,18984.0,233360.0,65607.0
2023-03,17949.0,210839.0,48400.0
2023-04,13895.0,173505.0,37638.0
2023-05,15086.0,228684.0,47643.0
2023-06,12404.0,203314.0,42215.0
2023-07,11078.0,196730.0,38059.0
2023-08,9464.0,174064.0,33175.0
2023-09,4415.0,86880.0,15007.0
2023-10,704.0,11731.0,1798.0
2023-11,3501.0,62037.0,13921.0
2023-12,8688.0,139896.0,27512.0
2024-01,7114.0,121956.0,25231.0
2024-02,6789.0,121240.0,26603.0
2024-03,6326.0,117016.0,26028.0
2024-04,5812.0,99939.0,22578.0
2024-05,5709.0,91178.0,21958.0
2024-06,4891.0,82777.0,20099.0
2024-07,4778.0,78239.0,19794.0
2024-08,4684.0,76847.0,14135.0
2024-09,4437.0,72557.0,12395.0
2024-10,4777.0,72399.0,14727.0
2024-11,3890.0,73968.0,18756.0
2024-12,3024.0,72043.0,16284.0
2025-01,3058.0,64042.0,16195.0
2025-02,3477.0,60611.0,15485.0
2025-03,3807.0,63638.0,16582.0
2025-04,3499.0,58392.0,15772.0
2025-05,3473.0,59111.0,15892.0
2025-06,2944.0,56032.0,14257.0
2025-07,3244.0,61481.0,15271.0
2025-08,3206.0,60529.0,14383.0
2025-09,2490.0,55292.0,13260.0
2025-10,2280.0,51717.0,12841.0
2025-11,2351.0,50065.0,12282.0
2025-12,2335.0,48883.0,11923.0
