date,oil_bbl,gas_mcf,water_bbl
2023-01,3221.0,7759.0,6717.0
2023-02,55153.0,149287.0,58894.0
2023-03,64874.0,170036.0,30195.0
2023-04,55767.0,150171.0,51167.0
2023-05,53340.0,152729.0,50413.0
2023-06,43173.0,135214.0,46312.0
2023-07,33224.0,105914.0,36694.0
2023-08,25723.0,75143.0,26295.0
2023-09,23209.0,76936.0,27304.0
2023-10,22275.0,73625.0,26128.0
2023-11,20605.0,75055.0,26306.0
2023-12,19328.0,71795.0,25770.0
2024-01,17604.0,67137.0,24293.0
2024-02,15347.0,59758.0,20776.0
2024-03,15173.0,58641.0,21718.0
2024-04,13703.0,52862.0,19476.0
2024-05,13299.0,51184.0,17332.0
2024-06,11824.0,45618.0,13991.0
2024-07,12130.0,44756.0,13908.0
2024-08,11620.0,46289.0,15436.0
2024-09,10872.0,45391.0,14435.0
2024-10,10650.0,47476.0,13400.0
2024-11,9896.0,44090.0,13136.0
2024-12,9793.0,45175.0,13620.0
2025-01,9686.0,43815.0,13400.0
2025-02,8332.0,39016.0,11985.0
2025-03,8841.0,41613.0,13173.0
2025-04,3949.0,18413.0,6049.0
2025-05,2905.0,14397.0,3181.0
2025-06,11503.0,39813.0,14319.0
2025-07,8814.0,32232.0,13652.0
2025-08,8007.0,32018.0,11763.0
2025-09,7796.0,32105.0,11249.0
2025-10,7701.0,31501.0,12294.0
2025-11,7002.0,29480.0,12515.0
