date,oil_bbl,gas_mcf,water_bbl
2023-01,25855.0,46246.0,42415.0
2023-02,89035.0,148638.0,81837.0
2023-03,48826.0,84952.0,39383.0
2023-04,37569.0,66436.0,27377.0
2023-05,27323.0,44668.0,20009.0
2023-06,27512.0,47888.0,19398.0
2023-07,27098.0,47440.0,17442.0
2023-08,25887.0,45207.0,16009.0
2023-09,22136.0,39586.0,14142.0
2023-10,18519.0,34658.0,13068.0
2023-11,21098.0,33147.0,13350.0
2023-12,25728.0,37286.0,12977.0
2024-01,17006.0,33646.0,12037.0
2024-02,16314.0,30845.0,11042.0
2024-03,16563.0,31767.0,11468.0
2024-04,13119.0,30288.0,10532.0
2024-05,11823.0,28872.0,10241.0
2024-06,11168.0,26952.0,8985.0
2024-07,10436.0,26960.0,8697.0
2024-08,6863.0,27055.0,8224.0
2024-09,6425.0,26011.0,7256.0
2024-10,6614.0,24406.0,7399.0
2024-11,6257.0,18899.0,7382.0
2024-12,6248.0,19241.0,7364.0
2025-01,6490.0,18304.0,7148.0
2025-02,5693.0,15548.0,6162.0
2025-03,6129.0,17792.0,6870.0
2025-04,5833.0,17310.0,6404.0
2025-05,5799.0,17786.0,6485.0
2025-06,4497.0,14253.0,5240.0
2025-07,31.0,29.0,203.0
2025-08,2970.0,2876.0,7832.0
2025-09,4937.0,7750.0,7526.0
2025-10,5473.0,6931.0,7669.0
2025-11,4264.0,9429.0,6526.0
