date,oil_bbl,gas_mcf,water_bbl
1993-10,2614.0,1.0,0.0
1993-11,857.0,1.0,0.0
1993-12,431.0,1.0,0.0
1994-01,423.0,1.0,0.0
1994-02,531.0,1.0,0.0
1994-03,575.0,1.0,0.0
1994-04,701.0,1.0,0.0
1994-05,605.0,1.0,0.0
1994-06,268.0,1.0,0.0
1994-07,256.0,1.0,0.0
1994-08,402.0,1.0,0.0
1994-09,346.0,1.0,0.0
1994-10,271.0,1.0,0.0
1994-11,70.0,0.0,0.0
1994-12,45.0,0.0,0.0
1995-01,42.0,0.0,0.0
1995-02,25.0,0.0,0.0
1995-03,0.0,0.0,0.0
1995-04,168.0,0.0,0.0
1995-05,58.0,0.0,0.0
1995-06,51.0,0.0,0.0
1995-07,47.0,0.0,0.0
1995-08,53.0,0.0,0.0
1995-09,0.0,0.0,0.0
1995-10,0.0,0.0,0.0
1995-11,0.0,0.0,0.0
1995-12,0.0,0.0,0.0
1996-01,0.0,0.0,0.0
1996-02,0.0,0.0,0.0
