date,oil_bbl,gas_mcf,water_bbl
2023-01,42521.0,50142.0,45817.0
2023-02,25022.0,31510.0,21894.0
2023-03,24021.0,22021.0,19277.0
2023-04,20916.0,37409.0,15375.0
2023-05,16110.0,34338.0,14262.0
2023-06,3141.0,8535.0,13850.0
2023-07,53.0,0.0,6452.0
2023-08,5651.0,6101.0,18707.0
2023-09,11835.0,9110.0,20450.0
2023-10,10848.0,17939.0,13276.0
2023-11,10182.0,17538.0,10610.0
2023-12,8668.0,17005.0,8674.0
2024-01,6135.0,16661.0,6669.0
2024-02,5450.0,13730.0,6081.0
2024-03,6014.0,14004.0,6460.0
2024-04,3633.0,12076.0,4401.0
2024-05,4556.0,11477.0,4782.0
2024-06,2113.0,5059.0,1658.0
2024-07,2221.0,3464.0,2856.0
2024-08,4072.0,6927.0,4421.0
2024-09,4087.0,7739.0,3503.0
2024-10,3854.0,8494.0,3257.0
2024-11,2991.0,6035.0,2461.0
2024-12,2978.0,5080.0,2726.0
2025-01,2489.0,6676.0,2318.0
2025-02,2469.0,6673.0,2153.0
2025-03,2659.0,7568.0,2792.0
2025-04,1928.0,6075.0,1953.0
2025-05,2641.0,9155.0,2352.0
2025-06,2429.0,8671.0,2378.0
2025-07,2449.0,8863.0,2183.0
2025-08,2272.0,8538.0,2130.0
2025-09,2261.0,9189.0,2203.0
2025-10,1996.0,8780.0,1947.0
2025-11,1693.0,7964.0,1566.0
2025-12,1821.0,8520.0,1912.0
