date,oil_bbl,gas_mcf,water_bbl
2023-01,3718.0,4977.0,14357.0
2023-02,60129.0,191477.0,71530.0
2023-03,32750.0,279897.0,33473.0
2023-04,19145.0,198377.0,19969.0
2023-05,13024.0,125188.0,14124.0
2023-06,7596.0,67482.0,8337.0
2023-07,10996.0,118318.0,12467.0
2023-08,7665.0,92418.0,8020.0
2023-09,7338.0,122731.0,8058.0
2023-10,6592.0,119342.0,7283.0
2023-11,6033.0,109628.0,6582.0
2023-12,5808.0,96309.0,6013.0
2024-01,5963.0,91833.0,5658.0
2024-02,5208.0,86133.0,5196.0
2024-03,4498.0,77560.0,5353.0
2024-04,4091.0,67959.0,4012.0
2024-05,4182.0,71972.0,4148.0
2024-06,3652.0,68378.0,3482.0
2024-07,3560.0,63608.0,6258.0
2024-08,3476.0,64851.0,5128.0
2024-09,3129.0,61016.0,4331.0
2024-10,2919.0,57688.0,3841.0
2024-11,2934.0,56767.0,3377.0
2024-12,2774.0,52525.0,3316.0
2025-01,1405.0,23141.0,1781.0
2025-02,2068.0,36590.0,2721.0
2025-03,2287.0,21046.0,6597.0
2025-04,3591.0,44603.0,8071.0
2025-05,3334.0,47079.0,5530.0
2025-06,2985.0,47232.0,4268.0
2025-07,2876.0,53210.0,3518.0
2025-08,2522.0,57039.0,2695.0
2025-09,2290.0,56377.0,2379.0
2025-10,2402.0,58135.0,2010.0
2025-11,2192.0,58891.0,1724.0
2025-12,1990.0,62857.0,1609.0
